AirportName,CancelReason,max(CancelCount)
"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",Carrier,7
"Long Beach, CA: Long Beach Airport",Carrier,5
"Longview, TX: East Texas Regional",Weather,1
"Los Angeles, CA: Los Angeles International",Carrier,190
"Louisville, KY: Louisville Muhammad Ali International",Carrier,20
"Lubbock, TX: Lubbock Preston Smith International",Weather,5
"Madison, WI: Dane County Regional-Truax Field",Weather,5
"Manchester, NH: Manchester-Boston Regional",Weather,12
"Manhattan/Ft. Riley, KS: Manhattan Regional","National Air System",1
"Marquette, MI: Sawyer International",Weather,3
"Mason City, IA: Mason City Municipal",Weather,1
"Medford, OR: Rogue Valley International - Medford",Carrier,5
"Melbourne, FL: Melbourne International","National Air System",4
"Memphis, TN: Memphis International",Carrier,12
"Meridian, MS: Key Field",Weather,2
"Miami, FL: Miami International",Weather,158
"Midland/Odessa, TX: Midland International Air and Space Port",Weather,7
"Milwaukee, WI: General Mitchell International",Weather,30
"Minneapolis, MN: Minneapolis-St Paul International",Weather,113
"Minot, ND: Minot International",Weather,34
"Mission/McAllen/Edinburg, TX: McAllen Miller International",Carrier,6
"Missoula, MT: Missoula International","National Air System",1
"Moab, UT: Canyonlands Field",Weather,2
"Mobile, AL: Mobile Regional",Weather,3
"Moline, IL: Quad City International","National Air System",2
"Monroe, LA: Monroe Regional",Weather,4
"Monterey, CA: Monterey Regional",Weather,2
"Montgomery, AL: Montgomery Regional",Carrier,1
"Montrose/Delta, CO: Montrose Regional",Carrier,1
"Myrtle Beach, SC: Myrtle Beach International",Carrier,27
"Nashville, TN: Nashville International",Carrier,75
"New Orleans, LA: Louis Armstrong New Orleans International",Carrier,52
"New York, NY: John F. Kennedy International",Carrier,326
"New York, NY: LaGuardia",Carrier,216
"Newark, NJ: Newark Liberty International",Weather,209
"Newburgh/Poughkeepsie, NY: New York Stewart International",Weather,2
"Niagara Falls, NY: Niagara Falls International",Weather,1
"Nome, AK: Nome Airport",Carrier,1
